name,neighbourhood,city,property_type,room_type,accommodates,amenities,price,review_scores_rating,reviews
"Beautiful Flat in le Village Montmartre, Paris",Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",53,100,2
39 m² Paris (Sacre Cœur),Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Wifi"", ""Long term stays allowed""]",120,100,6
"Lovely apartment with Terrace, 60m2",Elysee,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",89,100,1
Cosy studio (close to Eiffel tower),Vaugirard,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Wifi"", ""Long term stays allowed""]",58,100,1
Close to Eiffel Tower - Beautiful flat : 2 rooms,Passy,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Bathtub"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]",60,100,1
NEW - Charming apartment Le Marais,Temple,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",95,100,2
2P - Entre Bastille et Republique,Popincourt,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""TV"", ""Kitchen"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Fire extinguisher"", ""Long term stays allowed""]",80,100,2
57sqm btw. Bastille & Père Lachaise,Popincourt,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",59,100,4
Charming appartment near the Parc Buttes Chaumont,Buttes-Chaumont,Paris,Entire apartment,Entire place,2,"[""Paid parking off premises"", ""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Cable TV""]",80,100,3
Bel appartement plein de charme !,Opera,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",90,100,2
Beau 2pièces près Butte aux cailles,Gobelins,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",60,100,1
Cosy appartement in marais 40m2,Hotel-de-Ville,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",80,100,3
Cosy Flat near Rue Mouffetard,Pantheon,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",61,100,1
